name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
california,2019-08-15,102.9,68.9,85.9,100.5,68.9,85.2,55.8,39.5,0,0,0,,0,0,,8.1,250,1011.1,0,9.8,360.6,31.2,10,,2019-08-15T06:19:57,2019-08-15T20:00:19,0.5,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-16,101.1,68.1,84,99.6,68.1,83.4,56.1,41.3,0,0,0,,0,0,19.7,12.5,187.8,1008.2,0,9.9,356.9,30.7,10,,2019-08-16T06:20:51,2019-08-16T19:59:01,0.54,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-08-17,86.5,62.2,72.4,85.1,62.2,72.2,55.5,57.4,0,0,0,,0,0,21.9,13.6,194.7,1007.1,0,9.9,359.6,31,10,,2019-08-17T06:21:45,2019-08-17T19:57:42,0.58,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-08-18,84.2,58.6,69.1,83,58.6,69,54.9,63,0,0,0,,0,0,21.9,11.9,199.9,1009.3,2.1,9.9,362.2,31.2,10,,2019-08-18T06:22:38,2019-08-18T19:56:22,0.61,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-19,83.4,56.8,68.7,82.8,56.8,68.6,56.4,67.6,0,0,0,,0,0,17.2,10.9,198.2,1012.6,1.2,9.9,355.9,30.7,10,,2019-08-19T06:23:32,2019-08-19T19:55:00,0.64,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-20,87.2,58.8,70.1,85.3,58.8,69.9,56.6,65.9,0,0,0,,0,0,,9.7,193.9,1013.7,6,9.9,347.1,29.9,10,,2019-08-20T06:24:25,2019-08-20T19:53:39,0.68,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,AN063,KSAC,CI155,72057600174"
california,2019-08-21,94.4,59.4,75.4,92.4,59.4,74.9,57.4,59.1,0,0,0,,0,0,,12.1,204.5,1011.8,5.8,9.9,362.6,31.1,10,,2019-08-21T06:25:18,2019-08-21T19:52:16,0.71,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,AN063,KSAC,CI155,72057600174"
california,2019-08-22,97.5,66.8,81.7,95.8,66.8,81.3,61,55.2,0,0,0,,0,0,17.2,13.4,303.7,1006.7,5.9,9.9,341.8,29.6,10,,2019-08-22T06:26:12,2019-08-22T19:50:52,0.74,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-23,96.5,67,79.3,94.6,67,78.8,58,52.1,0,0,0,,0,0,,12.4,207.5,1006.4,1.8,9.9,340.3,29.4,10,,2019-08-23T06:27:05,2019-08-23T19:49:27,0.75,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-24,97.1,64.1,77.9,95.6,64.1,77.4,56.8,52.5,0,0,0,,0,0,,11.2,199.7,1010.8,0.2,9.9,333.2,28.8,10,,2019-08-24T06:27:58,2019-08-24T19:48:02,0.81,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
